CustomerID,Count,Country,State,City,Zip_Code,Lat_Long,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Reason
7781-EWARA,1,United States,California,Big Bend,96011,"41.096569, -121.879082",41.096569,-121.879082,Male,No,Yes,Yes,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,60.35,4138.7,No,0,56,4122,
7789-CRUVC,1,United States,California,San Diego,92107,"32.741852, -117.243453",32.741852,-117.243453,Female,Yes,Yes,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),94.2,5895.45,No,0,76,5274,
1004-NOZNR,1,United States,California,Glen Ellen,95442,"38.368744, -122.522642",38.368744,-122.522642,Male,Yes,No,Yes,56,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),94.8,5264.3,No,0,59,5693,
6198-ZFIOJ,1,United States,California,Willits,95490,"39.492046, -123.375818",39.492046,-123.375818,Female,No,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.6,402.5,No,0,27,3469,
7205-BAIAD,1,United States,California,Fillmore,93015,"34.408161, -118.865111",34.408161,-118.865111,Female,No,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,827.3,No,0,27,3091,
4295-YURET,1,United States,California,San Quentin,94964,"37.942551, -122.491642",37.942551,-122.491642,Female,Yes,Yes,Yes,56,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72.6,4084.35,No,0,79,6357,
9838-BFCQT,1,United States,California,San Jose,95139,"37.218705, -121.762429",37.218705,-121.762429,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.1,1851.45,No,0,41,5475,
1017-FBQMM,1,United States,California,Acampo,95220,"38.200231, -121.235034",38.200231,-121.235034,Female,No,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),106.05,6703.5,No,0,69,6361,
1845-ZLLIG,1,United States,California,Woodbridge,95258,"38.169605, -121.310964",38.169605,-121.310964,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,50.15,No,0,50,4014,
8336-TAVKX,1,United States,California,Berry Creek,95916,"39.657228, -121.37778",39.657228,-121.37778,Female,Yes,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),78.45,5682.25,No,0,71,4032,
4203-QGNZA,1,United States,California,Los Angeles,90021,"34.029043, -118.239504",34.029043,-118.239504,Female,No,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.25,535.35,No,0,54,4476,
4616-EWBNJ,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,Female,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.1,318.6,No,0,22,4545,
6870-ECSHE,1,United States,California,Sun City,92586,"33.707483, -117.200006",33.707483,-117.200006,Female,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.45,34.8,No,0,39,4196,
3675-EQOZA,1,United States,California,Newport Beach,92660,"33.634626, -117.874882",33.634626,-117.874882,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.65,93.55,No,0,60,5597,
7754-IXRMC,1,United States,California,Atascadero,93422,"35.453912, -120.69461",35.453912,-120.69461,Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.35,45.35,No,0,23,3980,
8224-DWCKX,1,United States,California,Burlingame,94010,"37.57028, -122.365778",37.57028,-122.365778,Male,Yes,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.3,828.05,No,0,38,5159,
7919-ZODZZ,1,United States,California,Antioch,94509,"37.980057, -121.801599",37.980057,-121.801599,Female,No,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,65.9,660.05,No,0,78,5289,
2697-NQBPF,1,United States,California,Fulton,95439,"38.493888, -122.777141",38.493888,-122.777141,Male,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.35,3540.65,No,0,74,5503,
1986-PHGZF,1,United States,California,Greenwood,95635,"38.921333, -120.897718",38.921333,-120.897718,Male,Yes,No,No,18,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),58.4,964.9,No,0,54,2812,
9128-CPXKI,1,United States,California,Nicolaus,95659,"38.788898, -121.608624",38.788898,-121.608624,Female,No,No,No,59,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,95.8,5655.45,No,0,45,5470,
8118-TJAFG,1,United States,California,Gardena,90247,"33.890853, -118.297967",33.890853,-118.297967,Male,No,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.5,906.85,No,0,60,2757,
5707-ZMDJP,1,United States,California,Norwalk,90650,"33.905963, -118.08263",33.905963,-118.08263,Male,No,Yes,Yes,53,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,69.7,3729.6,No,0,27,4590,
8398-TBIYD,1,United States,California,Castro Valley,94552,"37.722727, -122.02157",37.722727,-122.02157,Female,No,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),84.7,6185.15,No,0,78,4520,
5872-OEQNH,1,United States,California,Carmichael,95608,"38.626128, -121.328011",38.626128,-121.328011,Female,No,No,No,60,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,44.45,2773.9,No,0,48,4928,
2068-WWXQZ,1,United States,California,Whittier,90604,"33.929704, -118.01208",33.929704,-118.01208,Male,No,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.05,902,No,0,38,2942,
6967-PEJLL,1,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,Male,No,Yes,Yes,37,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,40.2,1525.35,No,0,48,2308,
0078-XZMHT,1,United States,California,Visalia,93291,"36.391777, -119.372842",36.391777,-119.372842,Male,No,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,No,0,76,6322,
3845-JHAMY,1,United States,California,Inverness,94937,"38.099323, -122.945723",38.099323,-122.945723,Female,No,Yes,Yes,16,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),35.5,552.7,No,0,25,2069,
8205-MQUGY,1,United States,California,Sacramento,95834,"38.646209, -121.52446",38.646209,-121.52446,Male,No,Yes,Yes,12,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.2,571.15,No,0,37,3582,
6048-UWKAL,1,United States,California,Beale Afb,95903,"39.125311, -121.392283",39.125311,-121.392283,Female,Yes,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),105.4,6998.95,No,0,45,5467,
1925-GMVBW,1,United States,California,Oroville,95965,"39.624561, -121.552866",39.624561,-121.552866,Female,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.55,96.1,No,0,23,5967,
5639-NTUPK,1,United States,California,Walnut Creek,94598,"37.916648, -122.008483",37.916648,-122.008483,Male,No,No,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.1,670.65,No,0,34,4929,
0058-EVZWM,1,United States,California,Stockton,95209,"38.044523, -121.348048",38.044523,-121.348048,Female,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,No,0,42,5875,
7009-PCARS,1,United States,California,Stockton,95215,"37.946282, -121.139499",37.946282,-121.139499,Male,No,No,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.1,1001.5,No,0,66,4391,
5384-ZTTWP,1,United States,California,Yuba City,95991,"39.02741, -121.614982",39.02741,-121.614982,Female,No,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.8,272.95,No,0,34,4167,
9373-WSLOY,1,United States,California,Carlsbad,92008,"33.148116, -117.306043",33.148116,-117.306043,Male,Yes,Yes,No,33,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.0,1750.85,No,0,65,5600,
1508-DFXCU,1,United States,California,Riverside,92501,"33.994676, -117.372498",33.994676,-117.372498,Male,No,No,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.45,912,No,0,70,2916,
9365-CSLBQ,1,United States,California,Richgrove,93261,"35.809921, -119.127437",35.809921,-119.127437,Male,No,No,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.35,1654.6,No,0,60,4155,
3178-CIFOT,1,United States,California,Amador City,95601,"38.431407, -120.8421",38.431407,-120.8421,Female,No,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.65,478.1,No,0,58,5916,
6527-PZFPV,1,United States,California,Los Angeles,90023,"34.017697, -118.200577",34.017697,-118.200577,Male,No,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.8,469.65,No,0,48,4654,
6133-OZILE,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Female,No,No,No,18,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,35.2,607.3,No,0,32,5381,
4879-GZLFH,1,United States,California,Buena Park,90621,"33.874224, -117.993368",33.874224,-117.993368,Female,No,Yes,Yes,42,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.15,3875.4,No,0,33,5697,
1333-PBMXB,1,United States,California,Santa Ana,92703,"33.748635, -117.906125",33.748635,-117.906125,Female,No,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.75,1342.15,No,0,70,6466,
0336-KXKFK,1,United States,California,Santa Margarita,93453,"35.303926, -120.256567",35.303926,-120.256567,Male,No,No,No,72,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),61.2,4390.25,No,0,38,4085,
7049-GKVZY,1,United States,California,Berkeley,94702,"37.866009, -122.286228",37.866009,-122.286228,Female,No,No,No,17,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),79.85,1387.35,No,0,42,5574,
5716-LIBJC,1,United States,California,Winton,95388,"37.421299, -120.599587",37.421299,-120.599587,Female,No,No,Yes,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),104.15,1299.1,No,0,33,2810,
0327-WFZSY,1,United States,California,Samoa,95564,"40.809636, -124.189977",40.809636,-124.189977,Male,No,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,100.0,3835.55,No,0,64,5434,
9610-WCESF,1,United States,California,Sacramento,95828,"38.486938, -121.395805",38.486938,-121.395805,Male,No,No,No,67,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,43.9,3097.2,No,0,62,6344,
8969-PRHFK,1,United States,California,Red Bluff,96080,"40.186772, -122.388361",40.186772,-122.388361,Male,No,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,411.25,No,0,32,4695,
8107-RZLNV,1,United States,California,South Gate,90280,"33.944624, -118.192615",33.944624,-118.192615,Male,No,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),106.3,7565.35,No,0,62,4634,
5146-YYFRZ,1,United States,California,Hacienda Heights,91745,"33.998471, -117.973758",33.998471,-117.973758,Male,No,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.95,1311.75,No,0,80,6212,
9364-YKUVW,1,United States,California,Valley Center,92082,"33.25283, -116.986079",33.25283,-116.986079,Male,No,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.8,309.4,No,0,73,2681,
9578-FOMUK,1,United States,California,Santa Clara,95054,"37.393554, -121.965114",37.393554,-121.965114,Male,No,No,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.8,324.15,No,0,57,3965,
2388-LAESQ,1,United States,California,Manchester,95459,"38.966713, -123.586412",38.966713,-123.586412,Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,No,0,26,4796,
